八王の乱,290,306,290年@306年
劉淵,310,310,310年
永嘉の乱,311,316,311年@316年
司馬睿,276,322,276年@322年
東晋,317,420,317年@420年
五胡十六国,304,439,304年@439年
前秦,351,394,351年@394年
南北朝時代,401,589,439年@5世紀前半@589年
南朝,420,589,420年@589年
宋,420,479,420年@479年
劉裕,356,422,356年@422年
斉,479,502,479年@502年
梁,502,557,502年@557年
陳,557,589,557年@589年
北朝,439,581,439年@581年
北魏,386,534,386年@534年
太武帝,408,452,408年@452年
孝文帝,467,499,467年@499年
東魏,534,550,534年@550年
西魏,535,556,535年@556年
北斉,550,577,550年@577年
北周,556,581,556年@581年
阮籍,210,263,210年@263年
嵆康,223,262,223年@262年
陶潜,365,427,365年頃@427年
陶淵明,365,427,365年頃@427年
謝霊運,385,433,385年@433年
昭明太子,501,531,501年@531年
顧愷之,344,405,344年頃@405年頃
王羲之,307,365,307年頃@365年頃
酈道元,527,527,527年
仏図澄,348,348,348年
ブドチンガ,348,348,348年
鳩摩羅什,344,413,344年@413年
クマーラジーヴァ,344,413,344年@413年
道安,314,385,314年@385年
慧遠,334,417,334年@416年@417年
法顕,337,422,337年頃@422年頃
寇謙之,363,448,363年@448年
夫余,-100,494,前1世紀@494年
扶余,-100,494,前1世紀@494年
高句麗,-100,668,前1世紀頃@668年
広開土王,374,412,374年@412年
好太王,374,412,374年@412年
帯方郡,204,313,204年頃@313年
三国時代,304,700,4年@7世紀
朝鮮三国時代,304,700,4年@7世紀
新羅,301,935,4世紀@935年
百済,301,660,4世紀@660年
任那,350,562,4世紀後半@562年
ヤマト政権,301,700,4世紀頃@7世紀
大和政権,301,700,4世紀頃@7世紀
隋,581,618,581年@618年
楊堅,541,604,541年@604年
文帝,541,604,541年@604年
柔然,501,605,5年@6世紀
突厥,552,744,552年@744年
煬帝,569,618,569年@618年
唐,618,907,618年@907年
李淵,565,635,565年@635年
高祖,565,635,565年@635年
太宗,598,649,598年@649年
李世民,598,649,598年@649年
東突厥,583,744,583年@744年
貞観の治,627,649,627年@649年
高宗,628,683,628年@683年
西突厥,583,700,583年@7世紀末頃
則天武后,624,705,624年@628年@705年
周,690,705,690年@705年
中宗,656,710,656年@710年
韋后,710,710,710年
玄宗,685,762,685年@762年
開元の治,713,741,713年@741年
タラス河畔の戦い,751,751,751年
高仙芝,755,755,755年
楊貴妃,719,756,719年@756年
安史の乱,755,763,755年@763年
安禄山,705,757,705年@757年
史思明,761,761,761年
ウイグル,744,840,744年@840年
回紇,744,840,744年@840年
楊炎,727,781,727年@781年
王仙芝,878,878,878年
黄巣,884,884,884年
黄祟の乱,875,884,875年@884年
朱全忠,852,912,852年@912年
王維,701,761,701年頃@761年
李白,701,762,701年@762年
杜甫,712,770,712年@770年
白居易,772,846,772年@846年
白楽天,772,846,772年@846年
韓愈,768,824,768年@824年
韓退之,768,824,768年@824年
柳宗元,773,819,773年@819年
閻立本,673,673,673年
呉道玄,701,800,8世紀頃
李思訓,651,718,651年頃@718年
欧陽詢,557,641,557年@641年
虞世南,558,638,558年@638年
褚遂良,596,658,596年@658年
顔真卿,709,786,709年@786年頃
孔穎達,574,648,574年@648年
顔師古,581,645,581年@645年
玄奘,602,664,602年@664年
三蔵法師,602,664,602年@664年
義浄,635,713,635年@713年
阿倍仲麻呂,698,770,698年頃@770年頃
吐谷渾,601,704,4年@7世紀
吐蕃,707,900,7年@9世紀
ソンツェン＝ガンポ,649,649,649年
南詔,902,902,902年
大理,937,1254,937年@1254年
チャンパー,170,1700,2世紀末@17世紀
林邑,170,1700,2世紀末@17世紀
シュリーヴィジャヤ,1207,1400,7年@14世紀
室利仏逝,1207,1400,7年@14世紀
高句麗,-100,668,前1世紀頃@668年
大祚栄,719,719,719年
渤海国,698,926,698年@926年
新羅,301,935,4世紀@935年
百済,301,660,4世紀@660年
聖徳太子,574,622,574年@622年
白村江の戦い,663,663,663年
奈良時代,710,784,710年@784年
五代,907,960,907年@960年
五代十国,907,979,907年@979年
朱全忠,852,912,852年@912年
後梁,907,923,907年@923年
後唐,923,936,923年@936年
後晋,936,946,936年@946年
後漢,947,950,947年@950年
後周,951,960,951年@960年
宋,960,1279,960年@1279年
北宋,960,1127,960年@1127年
趙匡胤,927,976,927年@976年
太祖,927,976,927年@976年
太宗,939,997,939年@997年
慶暦の和約,1044,1044,1044年
神宗,1048,1085,1048年@85年
王安石,1021,1086,1021年@86年
司馬光,1019,1086,1019年@86年
徽宗,1082,1135,1082年@1135年
欽宗,1100,1161,1100年@61年
靖康の変,1126,1127,1126年@27年
南宋,1127,1279,1127年@1279年
高宗,1107,1187,1107年@87年
岳飛,1103,1141,1103年@41年
秦檜,1090,1155,1090年@1155年
周敦頤,1017,1073,1017年@73年
