class,instance,evt:starting_time,evt:endint_time,evt:alias,evt:nationality,evt:land_of_origin,evt:ethnic_group
政治家@ジャーナリスト,クレマンソー,1841,1929,,フランス,フランス,
教皇,クレメンス5世,1264,1314,,,フランス,
国王,クローヴィス,466,511,クロヴィス1世,フランク王国,,
法学者@作家@詩人,グロティウス,1583,1645,ヒュホー・デ・フロート,ネーデルランド連邦共和国,,
政治家@軍人@司令官@国王,クロムウェル,1599,1658,オリバー・クロムウェル,,イングランド,
発明家@紡績工,クロンプトン,1753,1827,,イギリス,イギリス,
経済学者@学者,ケインズ,1883,1946,,イギリス,イギリス,
詩人@劇作家@小説家@自然科学者@政治家@法律家@作家,ゲーテ,1749,1832,,,ドイツ,
経済学者@学者@貴族@医師,ケネー,1694,1774,,,フランス,
政治家@大統領,ケネディ,1917,1963,ジョン・F・ケネディ,アメリカ合衆国,,
天文学者@数学者@自然哲学者@占星術師@学者,ケプラー,1571,1630,,,ドイツ,
大統領@将軍,ケマル・パシャ,1881,1938,ケマル・アタテュクル,トルコ共和国,,
政治家@首相,ケレンスキー,1881,1970,,ソヴィエト社会主義共和国連邦,,
大統領,ゴ・ディン・ディエム,1901,1963,ゴ・ディン・ジエム,ヴェトナム共和国,ヴェトナム,
軍人,ゴードン,1833,1885,,イギリス,イギリス,
政治家@首相,コール,1930,,,ドイツ連邦共和国,,
政治家@革命家,コシュート,1802,1894,,ハンガリー,,
医師@細菌学者@開祖@学者,コッホ,1843,1910,,,ドイツ,
画家,ゴッホ,1853,1890,,,オランダ,
,コブデン,1804,1865,,イギリス,イギリス,
天文学者@司祭@法学者@占星術師@医師@司教@医者,コペルニクス,1473,1543,,ポーランド,,
政治家,ゴムウカ,1905,1982,,ポーランド,,
画家,ゴヤ,1746,1828,,,スペイン,
コンキスタドール,コルテス,1485,1547,,,スペイン,
劇作家@作家,コルネイユ,1606,1684,,,フランス,
政治家@大統領@博士,ゴルバチョフ,1931,,,ソヴィエト社会主義共和国連邦,,
政治家@大臣,コルベール,1619,1683,,,フランス,
探検家@航海者@コンキスタドール@奴隷商人@商人,コロンブス,1451頃,1506,,,イタリア,
使徒@君主@皇帝,コンスタンティヌス,272,337,コンスタンティヌス1世,古代ローマ,,
社会学者@哲学者@数学者@学者,コント,1798,1857,,フランス,フランス,
政治家@軍人@首相@大統領,サダト,1918,1981,サーダート,エジプト,エジプト,
政治家@貴族@党首@首相,サッチャー,1925,2013,,イギリス,イギリス,
詩人,サッフォー,前612頃,,サッポー,,ギリシア,
革命家,サパタ,1879頃,1919,,メキシコ,,
,サヤ・サン,1876,1931,,ビルマ,,
始祖,サラーフ・アッディーン,1137,1193,サラディン,,エジプト,
王,サルゴン1世,前2334頃,前2279頃,シャル・キン,,メソポタミア,
哲学者@小説家@劇作家@作家,サルトル,1905,1980,,フランス,フランス,
思想家,サン・シモン,1760,1825,,フランス,フランス,
軍人@政治家,サン・マルティン,1778,1850,,アルゼンチン,,
,シヴァージー,1627,1680,,マラータ王国,,
革命指導者@政治家,シェイエス,1748,1836,,フランス,フランス,
劇作家@詩人@作家,シェークスピア,1564,1616,,,イギリス,
女王,ジェームズ1世,1566,1625,ジェームズ6世,,イングランド,
国王,ジェームズ2世,1633,1701,ジェームズ7世,,イングランド,
作曲家@指揮者@教育者,シェーンベルク,1874,1951,アーノルド・ショウンバーグ,,オーストリア,
政治家@大統領,ジェファソン,1743,1826,,アメリカ合衆国,,
医学者,ジェンナー,1749,1823,,イギリス,イギリス,
画家@作家,ジオット,1266頃,1337,ジョット,,イタリア,
政治家@国王,シハヌーク,1922,2012,,,カンボジア,
貴族@監督,シモン・ド・モンフォール,1208頃,1263,,,イングランド,
革命家@軍人@政治家@思想家@武将@将軍,シモン・ボリバル,1783,1830,シモン・ボリーバル@解放者,,ベネズエラ,
シャー@ハーン@皇帝,シャー・ジャハーン,1592,1666,,ムガル帝国,,
シャー@皇帝@ハーン@王,シャープール1世,215,272,,ササン朝ペルシア,,
軍人@政治家@大統領@貴族,ジャクソン,1767,1845,,アメリカ合衆国,,
国王,シャルル10世,1757,1836,カルロス5世@アルトワ伯爵,フランス,フランス,
国王@王,シャルル7世,1403,1461,,,フランス,
王,シャルル9世,1550,1574,,,フランス,
軍人@司教@農夫@監督@教皇@詩人@作家@王@思想家,ジャンヌ・ダルク,1412,1431,,,フランス,
研究者@学者,シャンポリオン,1790,1832,,フランス,フランス,
作曲家,シューベルト,1797,1828,,,オーストリア,
政治家@官僚,シュタイン,1757,1831,,,プロイセン,
始祖@王族,ジュチ,1177または1184,1225,ジョチ,,モンゴル,
政治家@首相@外相@大臣,シュトレーゼマン,1878,1929,,ヴァイマル共和国,ドイツ,
考古学者@学者,シュリーマン,1822,1890,,,ドイツ,
王,ジョアン2世,1455,1495,,ポルトガル,,
王@君主@国王@皇帝,ジョージ1世,1660,1727,ゲオルク・ルートヴィヒ,,イギリス,
政治家@首相@外相@大臣,ジョセフ・チェンバレン,1836,1914,,イギリス,イギリス,
作曲家@詩人@ピアニスト,ショパン,1810,1849,,,ポーランド,
哲学者@修道士,ジョルダーノ・ブルーノ,1548,1600,,,イタリア,
王,ジョン,1167,1216,,,イングランド,
発明家@シャー,ジョン・ケイ,1704,1764,,,イギリス,
哲学者@経済学者@学者,ジョン・スチュアート・ミル,1806,1873,,イギリス,イギリス,
政治家@外交官@作家@ジャーナリスト@大統領,ジョン・ヘイ,1838,1905,,アメリカ合衆国,,
神父@シャー@農民,ジョン・ポール,1338,1381,,,イングランド,
大統領,ジョンソン,1908,1973,,アメリカ合衆国,,
詩人@歴史学者@劇作家@思想家@作家@学者,シラー,1759,1805,,,ドイツ,
作家@司祭@詩人,スウィフト,1667,1745,レミュエル・ガリヴァー@アイザック・ビッカースタッフ@M・B・ドレイピア,,イギリス,
王,スールヤヴァルマン2世,,,,アンコール朝,カンボジア,
大統領,スカルノ,1901,1970,,,インドネシア,
軍人@政治家@将軍,スキピオ,前235,前183,大スキピオ,古代ローマ,,
政治家@軍人,スターリン,1879,1953,ジュガシヴィリ@ヨシフ・スターリン,ソヴィエト社会主義共和国連邦,,
ジャーナリスト@探検家,スタンリー,1841,1904,,アメリカ合衆国,,
土木技術者@機械技術者,スティーヴンソン,1781,1848,,,イングランド,
作家,ストゥ夫人,1811,1896,ストウ,アメリカ合衆国,,
地理学者@歴史家@哲学者@学者,ストラボン,前64,21,,古代ローマ,,
作家,ストリンドベリ,1849,1912,,スウェーデン王国,,
政治家@首相@皇帝@大臣,ストルイピン,1862,1911,,ロシア帝国,,
政治家@軍人@大統領,スハルト,1921,2008,,,インドネシア,
哲学者@神学者,スピノザ,1632,1677,,,オランダ,
作曲家@指揮者@ピアニスト@教師,スメタナ,1824,1884,,,チェコ,
軍人@政治家@貴族,スラ,前138,前78,スッラ,古代ローマ,,
王@皇帝,スレイマン1世,1494,1566,,オスマン帝国,,
軍人@作家@狩猟家@探検家@自然主義者@大統領,セオドア・ローズベルト,1858,1919,ローズヴェルト@ルーズヴェルト,アメリカ合衆国,,
画家,セザンヌ,1839,1906,,,,
政治家,セシル・ローズ,1853,1902,,イギリス,イギリス,
政治家@哲学者@詩人@皇帝@教師,セネカ,前4頃,65,,古代ローマ,,
哲学者,ゼノン,前335,前263,,,ギリシア,
皇帝,セリム1世,1465,1520,,オスマン帝国,,
作家@著者,セルバンテス,1547,1616,,,スペイン,
哲学者,ソクラテス,前469,前399,,,ギリシア,
詩人@作家,ソフォクレス,前496頃,前406,ソポクレス,アテネ,,
小説家,ゾラ,1840,1902,,フランス,フランス,
王,ソロモン,前1011,前931,,イスラエル王国,,
政治家@立法者@詩人@作家@学者,ソロン,前640頃,前560頃,,アテネ,,
王,ソンツェン・ガンポ,,649,チソンツェン,吐蕃,,
自然科学者@地質学者@生物学者@学者,ダーウィン,1809,1882,,,,
製鉄業者,ダービー,1711,1763,,,,
製鉄業者,ダービー,1677,1717,,,,
技術者,ダイムラー,1834,1900,,,ドイツ,
画家,ダヴィッド,1748,1825,,フランス,フランス,
王,ダヴィデ,前1040,前961,ダヴィデ@ダヴィド,イスラエル王国,,
歴史家@作家,タキトゥス,55頃,120頃,,古代ローマ,,
探検家,タスマン,1603,1659,,,オランダ,
ウラマー@シャー@使徒,タバリー,839,923,,アッバース朝,,
政治家@外交官@司教@画家@首相@外相@大公@貴族@大使,タラーレン,1754,1838,,,フランス,
元首@博士@君主@シャー,ダライ・ラマ14世,1935,,テンジン・ギャツォ,,チベット,
政治家@首相,ダラディエ,1884,1970,,フランス,フランス,
哲学者@数学者@物理学者@学者,ダランベール,1717,1783,,フランス,フランス,
王@大王,ダレイオス1世,前550頃,前486,,アケメネス朝ペルシア,,
哲学者,タレス,前624頃,前546頃,タレース,,ギリシア,
詩人,ダンテ,1265,1321,,,イタリア,
政治家@作家@首相@大臣,チャーチル,1874,1965,,イギリス,イギリス,
王,チャールズ1世,1600,1649,,,イングランド,
王,チャールズ2世,1630,1685,,,イングランド,
政治家@大統領,チャウシェスク,1918,1989,,ルーマニア,,
皇族,チャガタイ,1185または1186,1242,察合台,,モンゴル,
王,チャンドラグプタ,,前298頃,サンドロクプトス@サンドロコットス,マウリヤ朝,,
王@大王@シャー,チャンドラグプタ1世,,,,グプタ朝,,
作家@王@僧@詩人,チャンドラグプタ2世,,,超日王,グプタ朝,,
国王,チュラロンコン大王,1853,1910,チュラチョームクラオ@ピヤマハーラート@チュラーロンコーン@ラーマ5世,タイ,,
詩人@作家,チョーサー,1340頃,1400,,,イギリス,
皇帝,チンギス・ハン,1162頃,1227,チンギス・カン,,モンゴル,
宗教改革者,ツヴィングリ,1484,1531,フルドライヒ@ウルリヒ,スイス,,
学僧@開祖,ツォンカパ,1357,1419,ロサン・タクパ,,チベット,
政治家@大統領@農民,ディアス,1830,1915,,メキシコ,,
政治家@歴史家@国王@王@首相@大統領@弁護士,ティエール,1797,1877,,フランス,フランス,
皇帝@君主@軍人,ディオクレティアヌス,244,311,,古代ローマ,,
政治家@小説家@貴族@首相@党首,ディズレーリ,1804,1881,,イギリス,イギリス,
政治家@大統領,ティトー,1892,1980,,ユーゴスラヴィア,,
哲学者@作家@思想家,ディドロ,1713,1784,,フランス,フランス,
政治家@農民,ティベリウス・センプロニウス・グラックス,前163,前133,グラックス兄弟,古代ローマ,,
政治家,ティムール,1336,1405,,ティムール帝国,,
皇帝,テオドシウス,347,395,テオドシウス大帝,古代ローマ,,
哲学者@自然哲学者@数学者,デカルト,1596,1650,,,フランス,
作家@ジャーナリスト,デフォー,1660,1731,,,イギリス,
政治家@軍人,テミストクレス,前528,前462,,アテネ,,
哲学者,デモクリトス,前460頃,前370頃,,,ギリシア,
哲学者@教育哲学者@社会思想家@思想家,デューイ,1859,1952,,アメリカ合衆国,,
画家,デューラー,1471,1528,,,ドイツ,
インド総督@商人@総督,デュプレクス,1697,1763,,,フランス,
政治家@重農主義経済学者@学者,テュルゴ,1727,1781,,,フランス,
軍人@政治家@大統領@首相,ド・ゴール,1890,1970,,フランス,フランス,
歴史家@軍人@将軍,トゥキディデス,前460頃,前400頃,,,ギリシア,
シャー@カリフ@アミール@君主@開祖,トゥグリル・ベグ,993,1063,,セルジューク朝,,
独立運動指導者,トゥサン・ルヴェルチュール,1743,1803,,,ハイティ,
皇族@ハーン@皇帝@王族,トゥルイ,1192,1232,トルイ,,モンゴル,
小説家@貴族,トゥルゲーネ,1818,1883,ツルゲーネフ,ロシア帝国,,
地理学者@数学者@天文学者@学者,トスカネリ,1397,1482,,,イタリア,
小説家@思想家,ドストエフスキー,1821,1881,,ロシア帝国,,
作曲家,ドビュッシー,1862,1918,,フランス,フランス,
政治家,ドプチェク,1921,1992,,チェコスロヴァキア,,
神学者@哲学者@博士,トマス・アクィナス,1225頃,1274,トンマーゾ・ダクイーノ,シチリア王国,,
哲学者@思想家,トマス・ペイン,1737,1809,,アメリカ合衆国,,
小説家@作家@博士,トマス・マン,1875,1955,,,ドイツ,
宗教改革者,トマス・ミュンツァー,1490頃,1525,,,ドイツ,
法律家@思想家,トマス・モア,1478,1535,,,イギリス,
画家,ドラクロワ,1798,1863,,,,
政治家@大統領,トルーマン,1884,1972,ハリー・S・トルーマン,アメリカ合衆国,,
小説家@思想家,トルストイ,1828,1910,,ロシア帝国,,
イラストレーター@画家@版画家@挿絵画家@彫刻家,ドレ,1832,1888,,フランス,フランス,
航海者@海賊@海軍提督@司令官@提督@船長,ドレーク,1543頃,1596,ドラコ,,イギリス,
政治家@革命家@マルクス主義思想家@思想家,トロツキー,1879,1940,レフ・ダヴィードヴィチ・ブロンシュテイン・レオン・トロツキー,,ロシア,
僧,ナーガールジュナ,2世紀,3世紀,竜樹,,インド,
教祖,ナーナク,1469,1538,,,インド,
看護師@社会起業家@統計学者@看護教育学者@学者,ナイティンゲール,1820,1910,,イギリス,イギリス,
政治家@首相,ナジ,1896,1958,,ハンガリー,,
軍人@政治家@大統領,ナセル,1918,1970,ナーセル,,エジプト,
軍人@政治家@皇帝,ナポレオン・ボナパルト,1769,1821,ナポレオン1世,フランス,フランス,
皇帝@大統領,ナポレオン3世,1808,1873,シャルル・ルイ・ナポレオン・ボナパルト@ルイ・ナポレオン,フランス,フランス,
古典文献学者@哲学者@学者,ニーチェ,1844,1900,,,ドイツ,
軍人@政治家@大統領@弁護士,ニクソン,1913,1994,,アメリカ合衆国,,
大公@国王@皇帝,ニコライ2世,1868,1918,,ロシア帝国,,
発明家@企業家,ニューコメン,1664,1729,,,イギリス,
哲学者@自然哲学者@数学者@神学者,ニュートン,1642,1727,,,イギリス,
皇帝@君主@ハーン,ヌルハチ,1559,1626,太祖,清,,
政治家@軍人@総長@大統領,ネ・ウィン,1911,2002,シュマウン@高杉晋,ビルマ,,
政治家@首相@外相,ネヴィル・チェンバレン,1869,1940,,イギリス,イギリス,
銀行家@政治家@国王@貴族@文人,ネッケル,1732,1804,,フランス,フランス,
王,ネブカドネザル2世,,,ナブー・クドゥリ・ウツル2世,新バビロニア,,
首相@学者,ネルー,1889,1964,ジャワハルラール・ネルー,インド共和国,,
皇帝,ネロ,37,68,ネロ・クラウディウス・カエサル・ドルスス・ゲルマニクス ,古代ローマ,,
化学者@発明家@実業家,ノーベル,1833,1896,ダイナマイト王,スウェーデン王国,,
解剖学者@医師@学者,ハーヴェー,1578,1657,,,イギリス,
大工@発明家@シャー,ハーグリｰヴズ,1720頃,1778,,,イングランド,
大統領@カリフ,ハーディング,1865,1923,,アメリカ合衆国,,
君主@皇帝,バーブル,1483,1530,,ムガル帝国,,
カリフ,ハールーン・アッラシード,766,809,,アッバース朝,,
哲学者,ハイデッガー,1889,1976,,,ドイツ,
皇族@ハーン@皇帝,ハイドゥ,,1301,カイドゥ,,モンゴル,
