class,instance,starting_time,ending_time,alias,nationality,land_of_origin,founder,upper_organization,religion
軍隊@隊,東洋艦隊,1870,1914,,,ドイツ,,,
教育機関@機関@学院,東林書院,1604,1625,東林学院,,,,,
派閥@派,東林派,,,東林党,明,,,,
団体@結社@派,統一と進歩委員会,,1889頃,,,,,,
政府@政権,統領政府,,,,,,,,
学派,道家,,,老荘思想,,中国,,,
国際組織@組織@共同体,独立国家共同体,1991,,,,,,,
政党@党,独立社会民主党,1917,,USPD@ドイツ独立社会民主党,,,,,
政党@党,独立党,,,開化派,李氏朝鮮,,,,
派閥@派,独立派,,,,イギリス,,,,
軍隊@隊,突撃隊,1921,1934,SA,,ドイツ,,,
その他の国家内役割,内閣大学士,,,,明@清,,,,
団体@結社,南ヴェトナム解放民族戦線,1960,,南ベトナム解放民族戦線,,,,,
議会,二院制議会,,,,,,,,
同盟,日英同盟,1902,1921,,,,,,
同盟,日独伊三国同盟,1940/09/27,,,,,,,
軍隊@軍,日本軍,,,,日本,,,,
武装勢力@軍閥@軍,捻軍,,1868,,清,,,,
軍隊,八旗,,,,,,,,
派閥@派,閥族派,,,オプティマテス,,,,,
政党@党@連盟,反ファシスト人民自由連盟,1944,1962,,ビルマ,,アウン・サン@ウー・ヌ,,
武装勢力@軍閥@軍,反革命軍,,,白軍,ソヴィエト社会主義共和国連邦,,,,
団体@結社@同盟,反穀物法同盟,1839,1846,,,,,,
派閥@派,反連邦派,1787,1788,,アメリカ合衆国,,,,
武装勢力@軍閥,藩鎮,,,,唐,,,,
警察組織@組織,非常委員会,1917,1922,チェカ@チェーカー,ソヴィエト社会主義共和国連邦,,,,
派閥@派,非東林派,,,,,,,,
学派,百科全書派,,,,,フランス,,,
学派,兵家,,,,,中国,,,
政府@政権,平氏政権,1167,1183,,,,平清盛,,
議会,平民会,前5世紀前半,,トリブス民会,,,,,
